ATF	1.0
32	41    
"Type=GenePix Export 3"
"DateTime=2023/05/30 14:50:00"
"Settings=R:\Para-Schisto-Glyco\Glycan microarrays\Glycan arrays, Emma Houlder\Arrays\Raw data\2023.05.30\Slide #1\Settings slide #1 F532.gps"
"GalFile=R:\Para-ClinicalTrial\Emma Houlder\Lab files\D&A\ReCHISVac (R)\Arrays (A)\R_A_003 full array\2023.05.30\GAL file Schistosoma glycan_protein array May 2023.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=R:\Para-Schisto-Glyco\Glycan microarrays\Glycan arrays, Emma Houlder\Arrays\Raw data\2023.05.30\Slide #1\US23502317_1003449801_S01_H_Flipped.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=2860, 1690"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier=BioRobotics"
"ArrayerSoftwareName=TAS Application Suite (MicroGrid II)"
"ArrayerSoftwareVersion=2.4.0.3"
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"Rgn R2 (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"Log Ratio (635/532)"	"F532 Median - B532"	"F532 Mean - B532"	"F532 Total Intensity"	"SNR 532"	"F532 CV"	"B532 CV"	"Index"
1	7	2	"protein 129"	"265"	4530	2130	100	412	451	136	1133	1104	1133	157	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-721	-682	Error	-721	-682	36082	-4.159	30	14	19
1	8	2	"protein 129"	"265"	4770	2130	100	410	451	137	1137	1095	1137	178	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-727	-686	Error	-727	-686	36046	-3.618	30	16	20
1	9	2	"protein 129"	"265"	5020	2130	80	625	643	175	1092	1050	1092	208	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	52	340	100	0	0	0	-467	-449	Error	-467	-449	33438	-1.957	27	19	21
1	10	2	"protein 53"	"269"	5260	2130	60	1052	1078	295	1240	1185	1240	195	16	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32	176	100	0	0	0	-188	-162	Error	-188	-162	34497	-0.549	27	16	22
1	11	2	"protein 53"	"269"	5510	2130	70	1002	973	255	1230	1205	1230	186	3	3	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32	236	100	0	0	0	-228	-257	Error	-228	-257	31140	-1.247	26	15	23
1	12	2	"protein 53"	"269"	5750	2130	80	670	735	208	1285	1270	1285	154	2	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	52	340	100	0	0	0	-615	-550	Error	-615	-550	38223	-3.474	28	12	24
1	1	3	"protein 115"	"241"	3060	2370	100	437	483	189	637	894	637	539	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-100	0	0	-200	-154	Error	-200	-154	38666	-0.763	39	60	25
1	2	3	"protein 115"	"241"	3300	2370	100	944	912	227	1367	1356	1367	143	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-423	-455	Error	-423	-455	72959	-3.105	24	10	26
1	3	3	"protein 115"	"241"	3550	2370	100	755	749	192	1107	1113	1107	92	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-352	-358	Error	-352	-358	59950	-3.957	25	8	27
1	4	3	"protein 24"	"245"	3790	2370	100	598	636	176	1092	1095	1092	79	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-494	-456	Error	-494	-456	50910	-5.810	27	7	28
1	5	3	"protein 24"	"245"	4040	2370	100	643	696	195	1177	1183	1177	95	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-534	-481	Error	-534	-481	55701	-5.126	28	8	29
1	6	3	"protein 24"	"245"	4280	2370	100	663	725	203	1279	1280	1279	93	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-616	-554	Error	-616	-554	57992	-5.968	28	7	30
1	7	3	"protein 90"	"249"	4530	2370	100	1080	1094	176	1341	1337	1341	91	1	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-261	-247	Error	-261	-247	87541	-2.670	16	6	31
1	8	3	"protein 90"	"249"	4770	2370	100	1148	1129	182	1351	1345	1351	106	3	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-203	-222	Error	-203	-222	90318	-2.038	16	7	32
1	9	3	"protein 90"	"249"	5020	2370	100	1144	1154	134	1382	1378	1382	109	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-238	-228	Error	-238	-228	92324	-2.055	11	7	33
1	10	3	"protein 62"	"253"	5260	2370	100	1189	1186	180	1392	1391	1392	75	8	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-203	-206	Error	-203	-206	94875	-2.733	15	5	34
1	11	3	"protein 62"	"253"	5510	2370	100	1127	1119	158	1382	1379	1382	79	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-255	-263	Error	-255	-263	89501	-3.291	14	5	35
1	12	3	"protein 62"	"253"	5750	2370	100	1174	1152	169	1411	1412	1411	78	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-237	-259	Error	-237	-259	92169	-3.333	14	5	36
1	1	4	"protein 105"	"225"	3060	2620	100	442	595	404	481	1173	481	2663	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-100	0	0	-39	114	Error	-39	114	47568	-0.217	67	227	37
