ATF	1.0
32	41    
"Type=GenePix Export 3"
"DateTime=2023/05/30 14:50:00"
"Settings=R:\Para-Schisto-Glyco\Glycan microarrays\Glycan arrays, Emma Houlder\Arrays\Raw data\2023.05.30\Slide #1\Settings slide #1 F532.gps"
"GalFile=R:\Para-ClinicalTrial\Emma Houlder\Lab files\D&A\ReCHISVac (R)\Arrays (A)\R_A_003 full array\2023.05.30\GAL file Schistosoma glycan_protein array May 2023.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=R:\Para-Schisto-Glyco\Glycan microarrays\Glycan arrays, Emma Houlder\Arrays\Raw data\2023.05.30\Slide #1\US23502317_1003449801_S01_H_Flipped.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=2860, 1690"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier=BioRobotics"
"ArrayerSoftwareName=TAS Application Suite (MicroGrid II)"
"ArrayerSoftwareVersion=2.4.0.3"
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"Rgn R2 (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"Log Ratio (635/532)"	"F532 Median - B532"	"F532 Mean - B532"	"F532 Total Intensity"	"SNR 532"	"F532 CV"	"B532 CV"	"Index"
9	1	18	"Cercariae PNG-F N NP13-RP02 3 uM"	"1"	3110	24090	30	2559	2539	928	817	1364	817	884	75	50	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4	20	100	0	0	0	1742	1722	Error	1742	1722	10156	1.329	36	64	1933
9	2	18	"Cercariae PNG-F N NP13-RP02 3 uM"	"1"	3340	24090	50	2561	2602	1115	832	910	832	224	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12	104	100	0	0	0	1729	1770	Error	1729	1770	31229	7.554	42	24	1934
9	3	18	"Cercariae PNG-F N NP13-RP02 3 uM"	"1"	3560	24080	60	1848	2141	932	917	957	917	232	84	84	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32	176	100	0	0	0	931	1224	Error	931	1224	68515	5.103	43	24	1935
9	4	18	"Cercariae PNG-F N NP16-RP04 3 uM"	"5"	3800	24100	100	759	806	163	1198	1192	1198	102	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-439	-392	Error	-439	-392	64455	-3.784	20	8	1936
9	5	18	"Cercariae PNG-F N NP16-RP04 3 uM"	"5"	4050	24100	100	634	706	172	1211	1209	1211	120	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-577	-505	Error	-577	-505	56474	-4.192	24	9	1937
9	6	18	"Cercariae PNG-F N NP16-RP04 3 uM"	"5"	4290	24100	100	636	699	160	1193	1199	1193	127	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-557	-494	Error	-557	-494	55880	-3.937	22	10	1938
9	7	18	"Cercariae PNG-F N NP18-RP03 10 uM"	"9"	4540	24100	100	609	805	388	1162	1153	1162	145	18	5	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-553	-357	Error	-553	-357	64435	-2.400	48	12	1939
9	8	18	"Cercariae PNG-F N NP18-RP03 10 uM"	"9"	4780	24100	100	568	737	325	1127	1137	1127	130	9	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-559	-390	Error	-559	-390	58936	-3.077	44	11	1940
9	9	18	"Cercariae PNG-F N NP18-RP03 10 uM"	"9"	5030	24100	100	588	737	317	1106	1103	1106	149	10	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-518	-369	Error	-518	-369	58969	-2.456	43	13	1941
9	10	18	"Cercariae PNG-F N NP20-RP04 10 uM"	"13"	5270	24100	100	514	606	229	1084	1075	1084	165	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-570	-478	Error	-570	-478	48497	-2.842	37	15	1942
9	11	18	"Cercariae PNG-F N NP20-RP04 10 uM"	"13"	5520	24100	100	506	606	246	1047	1057	1047	160	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-541	-441	Error	-541	-441	48458	-2.819	40	15	1943
9	12	18	"Cercariae PNG-F N NP20-RP04 10 uM"	"13"	5760	24100	100	528	639	248	1135	1142	1135	185	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-607	-496	Error	-607	-496	51109	-2.719	38	16	1944
10	1	1	"protein 88"	"274"	7530	19940	100	1418	1420	194	1697	1702	1697	81	3	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-279	-277	Error	-279	-277	113621	-3.481	13	4	1945
10	2	1	"protein 88"	"274"	7770	19940	100	1470	1466	172	1698	1701	1698	86	1	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-228	-232	Error	-228	-232	117274	-2.733	11	5	1946
10	3	1	"protein 88"	"274"	8020	19940	100	1501	1500	174	1677	1682	1677	88	8	5	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-176	-177	Error	-176	-177	119987	-2.068	11	5	1947
10	4	1	"protein 106"	"278"	8260	19940	100	1389	1401	166	1692	1694	1692	85	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-303	-291	Error	-303	-291	112098	-3.447	11	5	1948
10	5	1	"protein 106"	"278"	8510	19940	100	1350	1379	171	1681	1676	1681	84	4	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-331	-302	Error	-331	-302	110335	-3.536	12	5	1949
10	6	1	"protein 106"	"278"	8750	19940	100	1323	1345	164	1651	1650	1651	78	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-328	-306	Error	-328	-306	107565	-3.910	12	4	1950
10	7	1	"protein 118"	"282"	9000	19940	100	562	661	269	1540	1505	1540	172	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-978	-879	Error	-978	-879	52865	-4.907	40	11	1951
10	8	1	"protein 118"	"282"	9240	19940	100	609	732	455	1278	1278	1278	145	3	3	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-669	-546	Error	-669	-546	58544	-3.766	62	11	1952
10	9	1	"protein 118"	"282"	9490	19940	100	596	625	145	1061	1003	1061	201	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-465	-436	Error	-465	-436	50021	-1.881	23	20	1953
10	10	1	"blank-23"	"286"	9730	19940	100	361	413	145	664	653	664	121	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-303	-251	Error	-303	-251	33068	-1.983	35	18	1954
10	11	1	"blank-23"	"286"	9980	19940	100	339	419	168	622	613	622	88	5	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-283	-203	Error	-283	-203	33507	-2.205	40	14	1955
10	12	1	"blank-23"	"286"	10220	19940	100	344	411	145	683	683	683	101	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-339	-272	Error	-339	-272	32918	-2.693	35	14	1956
10	1	2	"protein 81"	"258"	7530	20190	100	1473	1479	154	1684	1686	1684	83	3	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-211	-205	Error	-211	-205	118348	-2.494	10	4	1957
10	2	2	"protein 81"	"258"	7770	20190	100	1527	1497	165	1680	1681	1680	86	4	3	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-153	-183	Error	-153	-183	119797	-2.140	11	5	1958
10	3	2	"protein 81"	"258"	8020	20190	100	1472	1483	133	1679	1678	1679	81	3	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-207	-196	Error	-207	-196	118621	-2.407	8	4	1959
10	4	2	"protein 104"	"262"	8260	20190	100	1284	1330	159	1670	1671	1670	84	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-386	-340	Error	-386	-340	106390	-4.060	11	5	1960
10	5	2	"protein 104"	"262"	8510	20190	100	1369	1359	179	1674	1675	1674	83	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-305	-315	Error	-305	-315	108707	-3.807	13	4	1961
10	6	2	"protein 104"	"262"	8750	20190	100	1335	1355	185	1626	1632	1626	89	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-291	-271	Error	-291	-271	108414	-3.112	13	5	1962
10	7	2	"protein 16"	"266"	9000	20190	100	1442	1455	190	1598	1602	1598	79	8	4	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-156	-143	Error	-156	-143	116413	-1.861	13	4	1963
10	8	2	"protein 16"	"266"	9240	20190	100	1372	1394	169	1526	1494	1526	140	3	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-154	-132	Error	-154	-132	111496	-0.714	12	9	1964
10	9	2	"protein 16"	"266"	9490	20190	100	1017	1046	140	1275	1299	1275	190	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-258	-229	Error	-258	-229	83644	-1.332	13	14	1965
10	10	2	"protein 57"	"270"	9730	20190	100	872	895	184	1084	1052	1084	196	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-212	-189	Error	-212	-189	71616	-0.801	20	18	1966
10	11	2	"protein 57"	"270"	9980	20190	100	832	840	174	1036	1001	1036	224	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-204	-196	Error	-204	-196	67169	-0.719	20	22	1967
10	12	2	"protein 57"	"270"	10220	20190	100	933	938	186	1001	1026	1001	233	4	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-68	-63	Error	-68	-63	75063	-0.378	19	22	1968
10	1	3	"protein 25"	"242"	7530	20430	100	1506	1519	212	1702	1704	1702	81	8	5	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-196	-183	Error	-196	-183	121555	-2.284	13	4	1969
10	2	3	"protein 25"	"242"	7770	20430	100	1460	1445	179	1682	1683	1682	78	3	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-222	-237	Error	-222	-237	115610	-3.051	12	4	1970
10	3	3	"protein 25"	"242"	8020	20430	100	1520	1502	211	1692	1692	1692	83	3	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-172	-190	Error	-172	-190	120150	-2.289	14	4	1971
10	4	3	"protein 31"	"246"	8260	20430	100	1483	1475	253	1687	1690	1687	86	11	4	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-204	-212	Error	-204	-212	117980	-2.500	17	5	1972
10	5	3	"protein 31"	"246"	8510	20430	100	1486	1456	200	1683	1729	1683	182	4	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-197	-227	Error	-197	-227	116460	-1.500	13	10	1973
10	6	3	"protein 31"	"246"	8750	20430	100	1408	1401	188	1663	1732	1663	206	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-255	-262	Error	-255	-262	112054	-1.607	13	11	1974
10	7	3	"protein 19"	"250"	9000	20430	100	1030	1064	237	1545	1547	1545	91	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-515	-481	Error	-515	-481	85088	-5.308	22	5	1975
10	8	3	"protein 19"	"250"	9240	20430	100	1113	1126	248	1519	1513	1519	90	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-406	-393	Error	-406	-393	90110	-4.300	22	5	1976
10	9	3	"protein 19"	"250"	9490	20430	100	1108	1161	236	1517	1516	1517	79	1	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-409	-356	Error	-409	-356	92850	-4.494	20	5	1977
10	10	3	"protein 65"	"254"	9750	20430	120	9701	11148	7378	1498	1463	1498	154	99	98	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	120	808	100	0	0	0	8203	9650	Error	8203	9650	1337709	62.890	66	10	1978
10	11	3	"protein 65"	"254"	10000	20430	120	9161	10846	7299	1462	1448	1462	172	98	98	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	120	782	100	0	0	0	7699	9384	Error	7699	9384	1301530	54.640	67	11	1979
10	12	3	"protein 65"	"254"	10230	20430	120	8908	9832	6162	1441	1423	1441	222	93	93	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	120	788	100	0	0	0	7467	8391	Error	7467	8391	1179795	37.878	62	15	1980
10	1	4	"protein 44"	"226"	7540	20670	110	46060	45380	18364	1731	1741	1731	96	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	656	100	0	0	0	44329	43649	Error	44329	43649	3630394	454.573	40	5	1981
10	2	4	"protein 44"	"226"	7780	20670	120	33100	33494	21764	1724	1724	1724	88	96	95	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	120	808	100	0	0	0	31376	31770	Error	31376	31770	4019302	361.023	64	5	1982
10	3	4	"protein 44"	"226"	8030	20670	110	47408	46876	17571	1748	1750	1748	86	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	656	100	0	0	0	45660	45128	Error	45660	45128	3750047	524.721	37	4	1983
10	4	4	"protein 43"	"230"	8260	20680	100	2685	2738	712	1733	1739	1733	109	86	85	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	952	1005	Error	952	1005	219078	9.165	26	6	1984
10	5	4	"protein 43"	"230"	8510	20680	100	2622	2677	633	1726	1736	1726	105	93	90	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	896	951	Error	896	951	214188	8.962	23	6	1985
10	6	4	"protein 43"	"230"	8750	20680	100	2695	2761	660	1751	1762	1751	140	94	90	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	944	1010	Error	944	1010	220899	7.136	23	7	1986
10	7	4	"protein 14"	"234"	9000	20680	100	1434	1434	214	1675	1682	1675	136	3	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-241	-241	Error	-241	-241	114759	-1.824	14	8	1987
10	8	4	"protein 14"	"234"	9240	20680	100	1329	1347	248	1599	1537	1599	353	3	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-270	-252	Error	-270	-252	107763	-0.538	18	22	1988
10	9	4	"protein 14"	"234"	9490	20680	100	1480	1485	203	1568	1562	1568	227	4	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-88	-83	Error	-88	-83	118806	-0.339	13	14	1989
10	10	4	"protein 54"	"238"	9730	20680	100	1364	1349	226	1587	1587	1587	149	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-223	-238	Error	-223	-238	107911	-1.597	16	9	1990
10	11	4	"protein 54"	"238"	9980	20680	100	1269	1247	200	1551	1562	1551	119	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-282	-304	Error	-282	-304	99773	-2.647	16	7	1991
10	12	4	"protein 54"	"238"	10220	20680	100	1323	1334	192	1609	1620	1609	126	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-286	-275	Error	-286	-275	106737	-2.270	14	7	1992
10	1	5	"protein 80"	"210"	7530	20920	100	1322	1331	359	1751	1756	1751	93	3	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-429	-420	Error	-429	-420	106501	-4.570	26	5	1993
10	2	5	"protein 80"	"210"	7770	20920	100	1274	1267	347	1743	1746	1743	88	3	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-469	-476	Error	-469	-476	101365	-5.443	27	5	1994
10	3	5	"protein 80"	"210"	8020	20920	100	1406	1354	407	1772	1773	1772	88	5	3	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-366	-418	Error	-366	-418	108294	-4.761	30	4	1995
10	4	5	"protein 64"	"214"	8260	20920	100	894	1080	409	1749	1798	1749	647	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-855	-669	Error	-855	-669	86399	-1.110	37	35	1996
10	5	5	"protein 64"	"214"	8510	20920	100	862	1032	399	1733	1733	1733	84	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-871	-701	Error	-871	-701	82561	-8.345	38	4	1997
10	6	5	"protein 64"	"214"	8750	20920	100	905	1028	377	1714	1716	1714	87	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-809	-686	Error	-809	-686	82243	-7.908	36	5	1998
10	7	5	"protein 128"	"218"	9000	20920	100	1003	1131	373	1686	1690	1686	89	4	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-683	-555	Error	-683	-555	90470	-6.281	32	5	1999
10	8	5	"protein 128"	"218"	9240	20920	100	732	909	365	1212	1290	1212	327	9	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-480	-303	Error	-480	-303	72715	-1.165	40	25	2000
10	9	5	"protein 128"	"218"	9490	20920	100	1002	1072	348	1300	1303	1300	142	16	6	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-298	-228	Error	-298	-228	85785	-1.627	32	10	2001
10	10	5	"protein 61"	"222"	9730	20920	100	1735	1744	352	1267	1292	1267	171	79	63	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	468	477	Error	468	477	139489	2.643	20	13	2002
10	11	5	"protein 61"	"222"	9980	20920	100	1778	1806	372	1335	1359	1335	191	76	56	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	443	471	Error	443	471	144510	2.340	20	14	2003
10	12	5	"protein 61"	"222"	10220	20920	100	1937	2014	465	1559	1505	1559	283	60	36	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	378	455	Error	378	455	161118	1.799	23	18	2004
10	1	6	"protein 67"	"194"	7550	21170	100	18552	19019	11115	1722	1726	1722	90	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	16830	17297	Error	16830	17297	1521484	192.144	58	5	2005
10	2	6	"protein 67"	"194"	7780	21170	90	22438	22507	10364	1717	1729	1717	125	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	52	420	100	0	0	0	20721	20790	Error	20721	20790	1170361	166.224	46	7	2006
10	3	6	"protein 67"	"194"	8030	21170	100	16720	19246	11951	1720	1726	1720	93	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	15000	17526	Error	15000	17526	1539641	188.387	62	5	2007
10	4	6	"protein 41"	"198"	8260	21170	100	1707	1734	319	1725	1729	1725	99	29	20	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-18	9	Error	-18	9	138696	0.051	18	5	2008
10	5	6	"protein 41"	"198"	8510	21170	100	1658	1690	267	1700	1699	1700	88	35	24	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-42	-10	Error	-42	-10	135182	-0.102	15	5	2009
10	6	6	"protein 41"	"198"	8750	21170	100	1693	1659	335	1666	1664	1666	110	39	21	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	27	-7	Error	27	-7	132705	-0.045	20	6	2010
10	7	6	"protein 120"	"202"	9020	21160	90	16547	15586	5195	1656	1663	1656	148	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	52	420	100	0	0	0	14891	13930	Error	14891	13930	810481	94.074	33	8	2011
10	8	6	"protein 120"	"202"	9250	21160	80	14982	13878	5317	1393	1380	1393	297	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	52	340	100	0	0	0	13589	12485	Error	13589	12485	721677	42.081	38	21	2012
10	9	6	"protein 120"	"202"	9500	21160	90	13554	13135	4392	1340	1357	1340	144	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	52	420	100	0	0	0	12214	11795	Error	12214	11795	683009	81.792	33	10	2013
10	10	6	"protein 4"	"206"	9730	21170	100	924	966	219	1334	1338	1334	87	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-410	-368	Error	-410	-368	77285	-4.276	22	6	2014
10	11	6	"protein 4"	"206"	9980	21170	100	926	983	246	1353	1355	1353	77	4	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-427	-370	Error	-427	-370	78639	-4.831	25	5	2015
10	12	6	"protein 4"	"206"	10220	21170	100	937	1020	224	1342	1341	1342	97	4	1	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-405	-322	Error	-405	-322	81570	-3.309	21	7	2016
10	1	7	"protein 98"	"178"	7530	21410	100	671	842	461	1597	1589	1597	144	4	4	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-926	-755	Error	-926	-755	67383	-5.187	54	9	2017
10	2	7	"protein 98"	"178"	7770	21410	100	600	746	344	1555	1554	1555	178	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-955	-809	Error	-955	-809	59692	-4.539	46	11	2018
10	3	7	"protein 98"	"178"	8020	21410	100	622	757	360	1535	1520	1535	140	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-913	-778	Error	-913	-778	60577	-5.450	47	9	2019
10	4	7	"protein 99"	"182"	8260	21410	100	623	808	379	1511	1487	1511	184	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-888	-703	Error	-888	-703	64670	-3.690	46	12	2020
10	5	7	"protein 99"	"182"	8510	21410	100	657	774	318	1439	1429	1439	180	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-782	-665	Error	-782	-665	61917	-3.639	41	12	2021
10	6	7	"protein 99"	"182"	8750	21410	100	614	730	328	1344	1335	1344	195	3	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-730	-614	Error	-730	-614	58362	-3.103	44	14	2022
10	7	7	"protein 125"	"186"	9000	21410	100	542	669	327	1241	1215	1241	254	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-699	-572	Error	-699	-572	53529	-2.150	48	20	2023
10	8	7	"protein 125"	"186"	9240	21410	100	497	606	288	998	1039	998	240	4	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-501	-392	Error	-501	-392	48449	-1.804	47	23	2024
10	9	7	"protein 125"	"186"	9490	21410	100	519	624	270	1096	1080	1096	171	1	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-577	-472	Error	-577	-472	49934	-2.667	43	15	2025
10	10	7	"protein 5"	"190"	9740	21410	90	8009	8041	4189	1294	1324	1294	219	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	52	420	100	0	0	0	6715	6747	Error	6715	6747	418154	30.671	52	16	2026
10	11	7	"protein 5"	"190"	9990	21410	90	8197	8692	4724	1324	1339	1324	151	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	52	420	100	0	0	0	6873	7368	Error	6873	7368	451961	48.695	54	11	2027
10	12	7	"protein 5"	"190"	10230	21410	110	7429	8544	5278	1366	1364	1366	92	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	656	100	0	0	0	6063	7178	Error	6063	7178	683494	78.043	61	6	2028
10	1	8	"CA-mock 100 mg/ml"	"162"	7550	21650	70	42430	34564	21941	1143	1130	1143	200	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32	236	100	0	0	0	41287	33421	Error	41287	33421	1106036	167.170	63	17	2029
10	2	8	"CA-mock 100 mg/ml"	"162"	7780	21650	70	25705	27902	21585	1105	1095	1105	204	100	100	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	32	236	100	0	0	0	24600	26797	Error	24600	26797	892873	131.407	77	18	2030
10	3	8	"CA-mock 100 mg/ml"	"162"	8030	21660	80	27387	25733	19656	1100	1128	1100	149	90	90	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	52	340	100	0	0	0	26287	24633	Error	26287	24633	1338126	165.134	76	13	2031
10	4	8	"SEA-periodate 100 mg/ml"	"166"	8260	21660	100	673	670	146	1121	1118	1121	150	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-448	-451	Error	-448	-451	53630	-2.987	21	13	2032
10	5	8	"SEA-periodate 100 mg/ml"	"166"	8510	21660	100	693	665	130	1073	1064	1073	126	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-380	-408	Error	-380	-408	53201	-3.167	19	11	2033
10	6	8	"SEA-periodate 100 mg/ml"	"166"	8750	21660	100	731	694	149	970	949	970	146	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-239	-276	Error	-239	-276	55486	-1.747	21	15	2034
10	7	8	"blank-19"	"170"	9000	21660	100	314	376	150	737	741	737	129	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-423	-361	Error	-423	-361	30057	-2.829	39	17	2035
10	8	8	"blank-19"	"170"	9240	21660	100	335	406	171	696	713	696	137	3	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-361	-290	Error	-361	-290	32493	-2.241	42	19	2036
10	9	8	"blank-19"	"170"	9490	21660	100	339	374	130	774	769	774	130	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	560	100	0	0	0	-435	-400	Error	-435	-400	29911	-3.038	34	16	2037
10	10	8	"protein 17"	"174"	9740	21650	110	10275	8675	3646	1147	1147	1147	197	95	95	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	80	656	100	0	0	0	9128	7528	Error	9128	7528	694006	38.213	42	17	2038
